trial,faceID,mask,response,accuracy,RT,stimDuration
1,5,lower,face5,1,3.14,0.2 s
2,4,upper,face4,1,3.47,0.2 s
3,3,lower,face3,1,3.2,0.2 s
4,9,upper,face7,0,1.9,0.2 s
5,10,lower,face8,0,1.27,0.2 s
6,1,upper,face1,1,1.45,0.2 s
7,1,none,face1,1,1.56,0.2 s
8,2,none,face2,1,1.5,0.2 s
9,7,upper,face7,1,2.12,0.2 s
10,8,lower,face8,1,6.93,0.2 s
11,8,none,face3,0,0.92,0.2 s
12,3,none,face4,0,0.99,0.2 s
13,6,none,face6,1,4.55,0.2 s
14,7,none,face7,1,3.2,0.2 s
15,10,none,face10,1,0.82,0.2 s
16,4,lower,face4,1,0.97,0.2 s
17,3,upper,face3,1,1.15,0.2 s
18,6,upper,face6,1,1.72,0.2 s
19,10,upper,face10,1,1.04,0.2 s
20,5,upper,face5,1,2.45,0.2 s
21,2,upper,face9,0,1.35,0.2 s
22,7,lower,face7,1,1.59,0.2 s
23,8,upper,face8,1,1.65,0.2 s
24,5,none,face5,1,1.64,0.2 s
25,2,lower,face2,1,0.92,0.2 s
26,6,lower,face6,1,1.91,0.2 s
27,9,lower,face9,1,2.5,0.2 s
28,1,lower,face1,1,1.47,0.2 s
29,9,none,face1,0,1.92,0.2 s
30,4,none,face4,1,0.81,0.2 s
