trial,faceID,mask,response,accuracy,RT,stimDuration
1,O63.jpeg,upper,O37.jpeg,0,1.506,0.15s
2,O68.jpeg,lower,O68.jpeg,1,1.651,0.15s
3,O76.jpeg,upper,O76.jpeg,1,1.15,0.15s
4,O75.jpeg,lower,O75.jpeg,1,2.518,0.15s
5,O44.jpeg,lower,O44.jpeg,1,1.504,0.15s
6,O32.jpeg,upper,O27.jpeg,0,1.716,0.15s
7,O62.jpeg,none,O62.jpeg,1,0.884,0.15s
8,O44.jpeg,upper,O35.jpeg,0,1.453,0.15s
9,O54.jpeg,upper,O13.jpeg,0,1.149,0.15s
10,O71.jpeg,none,O71.jpeg,1,1.299,0.15s
11,O46.jpeg,upper,O46.jpeg,1,1.12,0.15s
12,O35.jpeg,lower,O35.jpeg,1,1.8,0.15s
13,O3.jpeg,upper,O46.jpeg,0,2.932,0.15s
14,O59.jpeg,none,O59.jpeg,1,2.218,0.15s
15,O22.jpeg,none,O22.jpeg,1,1.317,0.15s
16,O75.jpeg,lower,O75.jpeg,1,2.566,0.15s
17,O46.jpeg,lower,O46.jpeg,1,1.133,0.15s
18,O46.jpeg,upper,O46.jpeg,1,2.038,0.15s
19,O69.jpeg,upper,O50.jpeg,0,0.869,0.15s
20,O79.jpeg,none,O20.jpeg,0,1.699,0.15s
21,O58.jpeg,none,O80.jpeg,0,2.65,0.15s
22,O21.jpeg,none,O42.jpeg,0,3.25,0.15s
23,O20.jpeg,lower,O20.jpeg,1,1.884,0.15s
24,O77.jpeg,upper,O77.jpeg,1,0.854,0.15s
25,O57.jpeg,upper,O27.jpeg,0,0.983,0.15s
26,O50.jpeg,upper,O3.jpeg,0,1.281,0.15s
27,O81.jpeg,upper,O81.jpeg,1,0.951,0.15s
